dt,grain_id,v,ASP_monthly,ASP_Consumer,ASP_Graphics,ASP_Mobile,ASP_PC,ASP_Server,MACRO KR CPI,MACRO US CPI,MACRO CN CPI,MACRO US Unemployment Rate,MACRO China Unemployment Rate,MACRO US Interest Rate,MACRO China LPR,MACRO US PMI Manufacturing,MACRO China PMI,MACRO China Credit Impulse,MACRO 70 Cities Housing Price YoY,MACRO KR CCI,MACRO Conference Board US,MACRO Conference Board CHINA,MACRO M1 Money Stock,MACRO M2 Money Stock,MACRO CN PPI,ASP (1Gb eqM),bit demand(mGb) AI accelerators,bit demand(mGb) Data center servers,bit demand(mGb) Deskbound PCs,bit demand(mGb) Total,bit demand(mGb) Upgrade module,consumer demand (mGb)-Total,DRAM demand (Gbm) Total,DRAM revenue ($m),Global demand(1Gbeqm) Total demand,Mobile commdem(mGb) High-end smartphone,Mobile commdem(mGb) Low-end smartphone,Mobile commdem(mGb) Mid-end smartphone,Mobile commdem(mGb) Tablets,Mobile commdem(mGb) Total,Unit shipments by app Total,Wired application dem (Gbm) Total,Total Vendor Revenue,Total Shipment Units,Total End-User Spending,Memory capex ($bn R),Industry capex ($bn R),(smartphone)SI-per-ST Ratio Total,(smartphone)Sell-Through Total Market,(smartphone)Sell-In Total,(smartphone)Inventory of new products Total,(smartphone)Inventory of lifetime shipments Total,(smartphone)Inventory in weeks of lifetime shipments Total,(handset)SI-per-ST Ratio Total,(handset)Sell-Through Total Market,(handset)Sell-In Total,(handset)Inventory of new products Total,(handset)Inventory of lifetime shipments Total,CN10YT=RR,CN3YT=RR,US10YT=RRPS,US3YT=RRPS,BZZc1,GCc1,HGc1,NGc1,PAc1,PLc1,CSI300,INX,OVX,SKEWX,VIX,ASP by vendor Micron,ASP by vendor Samsung,ASP by vendor SK hynix,DRAM ASP forecast 1Gb equivalent price,DRAM quarterly shipments 1Gb equivalent unit,Gb per wafer Industry average,Global supply(1Gbeqm) Total supply,Industry operating income,Industry operating margin,Micron cash costs,"Micron fab 12"" total (1Gb million units)",Micron fab Total output (1Gb million units),Micron loaded costs,Micron shipments 1Gb equivalent unit,Nanya loaded costs,Samsung cash costs,"Samsung fab 12"" total (1Gb million units)",Samsung fab Total (K wafers/quarter),Samsung loaded costs,Samsung shipments 1Gb equivalent unit,Shipment detail_Y 1Gb equivalent,Shipments pivot table total,SK hynix cash costs,"SK hynix fab 12"" total (1Gb million units)",SK hynix fab Total (K wafers/quarter),SK hynix loaded costs,SK hynix shipments 1Gb equivalent unit,Supply-Production-based Total,Total DRAM shipments(1Gbeqm),Waferoutput12-inch Micron,Waferoutput12-inch Samsung,Waferoutput12-inch SK hynix,Waferoutput12-inch Total,Capex by region ($m)-Total,Capex by Tech ($m)-Memory,Days of inventory,Days of inventory (R),Days of inventory by technology group - Analog,Days of inventory by technology group - Average DOI,Days of inventory by technology group - Discrete,Days of inventory by technology group - Logic,Days of inventory by technology group - Memory,Days of inventory by technology group - Microcomponents,DOI Inventory(mil),Fabless semiconductor companies Inventory(mil),Fndry rev forecast-IDM foundry revenue,Fndry rev forecast-Pure-play foundry revenue,Fndry rev forecast-Total foundry revenue,Foundry revenue by IDM by region (incl Samsung)-Total,Global capex,Global semiconductor revenue($bn),IDMs Inventory(mil),Industry revenue without memory ($bn),Inventory coverage,Memory capex,Memory revenue ($bn),Min average Max average,Pure-play foundries Inventory(mil),Quarterly foundry revenue-Total,Quarterly industry inventory value (L),Quarterly industry inventory value (L) - k,Quarterly semiconductor industry revenue (L) - k,Quarterly semiconductor industry revenue (R),Revenue of fabless semiconductor companies,Semiconductor revenue,Total industry capex ($bn),Total industry revenue ($bn),Total industry silicon (Msquareinch)Total,Total Inventory(mil),Total semiconductor industry revenue,Total-Quarterly industry revenue (R),Wafer size-total,DRAMDXI
2010-01-01,ASP_monthly,2.86,2.720567857,3.411698418,2.989777763,3.215641606,2.614417458,3.294957272,85.351,2.6,77.00264,9.7,5.0,0.125,4.25,58.4,54.0,51.4,5.9,16.9,80.05,104.7,1707.3,8450.6,4.3,1.611691083,154.6923077,637.2366579,1019.02205,4686.622244,730.9780633,286.2441606,5909.0262,8221.0,4219.802847,436.2687325,50.42158145,119.2059773,111.9809295,781.3408332,806.2924255,82.60876351,48923.95952,8897.313399,52635.54775,19.34804555,31.31256283,0.924722133,127.6059,118.0,52.122898,158.3524115,5.373309084,0.944309927,165.2,156.0,77.916486,158.3524115,0.9647955995238094,0.9754716995714287,0.9641782856666667,0.9854133157619047,77.05714285714286,1116.4285714285713,3.338,5.601999999999999,431.9619047619048,1552.4857142857143,3424.552857142857,1123.7704761904763,32.65904761904762,122.02095238095238,20.562380952380952,3.058486605,2.856345886,2.746573907,2.776835642,3398.472656,963.1030481,4640.039904,2692.099013,0.296225684,1.571500332,335.695404,343.1576457,2.216707631,449.56875,2.774323052,1.405496863,1097.10694,1056.6,1.950235821,1075.5,15312.80315,2700.08125,1.375969155,722.2493318,759.45,1.936302422,745.65625,3399.501761,5100.853438,990,1530,1095,4047,11915.05405,19348,66.66724458,69.1,80.19289526,66.66724458,61.76840338,65.42705968,48.70227213,77.24559243,66.66724458,2402.1,6977.0,25833.0,32810.0,1456,11915.05405,311.2839987,12844.32,241.4439988,0.234274914,4512.91265,69.8399999,16.66666667,1746.24235,5658.0,16992.66235,16.31126235,72.533,72533,15.193125,72533,50.66060838,311.2839987,8682.91,16992.66235,72.533,72533,3028571.271,20309.49
2010-02-01,ASP_monthly,2.86,2.720567857,3.411698418,2.989777763,3.215641606,2.614417458,3.294957272,85.351,2.6,77.00264,9.7,5.0,0.125,4.25,58.4,54.0,51.4,5.9,16.9,80.05,104.7,1707.3,8450.6,4.3,1.611691083,154.6923077,637.2366579,1019.02205,4686.622244,730.9780633,286.2441606,5909.0262,8221.0,4219.802847,436.2687325,50.42158145,119.2059773,111.9809295,781.3408332,806.2924255,82.60876351,48923.95952,8897.313399,52635.54775,19.34804555,31.31256283,0.924722133,127.6059,118.0,52.122898,158.3524115,5.373309084,0.944309927,165.2,156.0,77.916486,158.3524115,0.9647955995238094,0.9754716995714287,0.9641782856666667,0.9854133157619047,77.05714285714286,1116.4285714285713,3.338,5.601999999999999,431.9619047619048,1552.4857142857143,3424.552857142857,1123.7704761904763,32.65904761904762,122.02095238095238,20.562380952380952,3.058486605,2.856345886,2.746573907,2.776835642,3398.472656,963.1030481,4640.039904,2692.099013,0.296225684,1.571500332,335.695404,343.1576457,2.216707631,449.56875,2.774323052,1.405496863,1097.10694,1056.6,1.950235821,1075.5,15312.80315,2700.08125,1.375969155,722.2493318,759.45,1.936302422,745.65625,3399.501761,5100.853438,990,1530,1095,4047,11915.05405,19348,66.66724458,69.1,80.19289526,66.66724458,61.76840338,65.42705968,48.70227213,77.24559243,66.66724458,2402.1,6977.0,25833.0,32810.0,1456,11915.05405,311.2839987,12844.32,241.4439988,0.234274914,4512.91265,69.8399999,16.66666667,1746.24235,5658.0,16992.66235,16.31126235,72.533,72533,15.193125,72533,50.66060838,311.2839987,8682.91,16992.66235,72.533,72533,3028571.271,20309.49
2010-03-01,ASP_monthly,2.86,2.720567857,3.411698418,2.989777763,3.215641606,2.614417458,3.294957272,85.351,2.6,77.00264,9.7,5.0,0.125,4.25,58.4,54.0,51.4,5.9,16.9,80.05,104.7,1707.3,8450.6,4.3,1.611691083,154.6923077,637.2366579,1019.02205,4686.622244,730.9780633,286.2441606,5909.0262,8221.0,4219.802847,436.2687325,50.42158145,119.2059773,111.9809295,781.3408332,806.2924255,82.60876351,48923.95952,8897.313399,52635.54775,19.34804555,31.31256283,0.924722133,127.6059,118.0,52.122898,158.3524115,5.373309084,0.944309927,165.2,156.0,77.916486,158.3524115,0.9663479661000001,0.9756830881999999,0.9645074904,0.98629780715,74.8095,1097.7549999999999,3.117175,5.226699999999999,420.1,1520.34,3220.707,1088.4775,35.513,119.2175,22.549500000000002,3.058486605,2.856345886,2.746573907,2.776835642,3398.472656,963.1030481,4640.039904,2692.099013,0.296225684,1.571500332,335.695404,343.1576457,2.216707631,449.56875,2.774323052,1.405496863,1097.10694,1056.6,1.950235821,1075.5,15312.80315,2700.08125,1.375969155,722.2493318,759.45,1.936302422,745.65625,3399.501761,5100.853438,990,1530,1095,4047,11915.05405,19348,66.66724458,69.1,80.19289526,66.66724458,61.76840338,65.42705968,48.70227213,77.24559243,66.66724458,2402.1,6977.0,25833.0,32810.0,1456,11915.05405,311.2839987,12844.32,241.4439988,0.234274914,4512.91265,69.8399999,16.66666667,1746.24235,5658.0,16992.66235,16.31126235,72.533,72533,15.193125,72533,50.66060838,311.2839987,8682.91,16992.66235,72.533,72533,3028571.271,20309.49
2010-04-01,ASP_monthly,3.05,2.783155684,3.411698418,2.989777763,3.215641606,2.614417458,3.294957272,85.523,2.1,77.93114,9.7,5.0,0.125,4.25,56.5,54.0,51.4,5.9,14.4,79.189,104.2,1698.2,8528.3,5.4,1.611691083,154.6923077,637.2366579,1019.02205,4686.622244,730.9780633,286.2441606,5909.0262,8221.0,4219.802847,436.2687325,50.42158145,119.2059773,111.9809295,781.3408332,806.2924255,82.60876351,48923.95952,8897.313399,52635.54775,19.34804555,31.31256283,0.924722133,127.6059,118.0,52.122898,158.3524115,5.373309084,0.944309927,165.2,156.0,77.916486,158.3524115,0.9672083526956522,0.9771705153043478,0.9641349177826086,0.985294941173913,79.93130434782609,1114.3565217391304,3.3954130434782606,4.3,462.97391304347826,1602.182608695652,3283.2599999999998,1152.0486956521738,31.946521739130436,120.7495652173913,17.767391304347825,3.058486605,2.856345886,2.746573907,2.776835642,3398.472656,963.1030481,4640.039904,2692.099013,0.296225684,1.571500332,335.695404,343.1576457,2.216707631,449.56875,2.774323052,1.405496863,1097.10694,1056.6,1.950235821,1075.5,15312.80315,2700.08125,1.375969155,722.2493318,759.45,1.936302422,745.65625,3399.501761,5100.853438,990,1530,1095,4047,11915.05405,19348,66.66724458,69.1,80.19289526,66.66724458,61.76840338,65.42705968,48.70227213,77.24559243,66.66724458,2402.1,6977.0,25833.0,32810.0,1456,11915.05405,311.2839987,12844.32,241.4439988,0.234274914,4512.91265,69.8399999,16.66666667,1746.24235,5658.0,16992.66235,16.31126235,72.533,72533,15.193125,72533,50.66060838,311.2839987,8682.91,16992.66235,72.533,72533,3028571.271,20309.49
2010-05-03,ASP_monthly,3.05,2.89075023,3.411698418,2.989777763,3.215641606,2.614417458,3.294957272,85.696,2.3,77.38162,9.7,5.0,0.125,4.25,59.6,54.0,51.4,5.9,14.3,79.189,107.9,1731.6,8677.5,5.9,1.611691083,154.6923077,637.2366579,1019.02205,4686.622244,730.9780633,286.2441606,5909.0262,8221.0,4219.802847,436.2687325,50.42158145,119.2059773,111.9809295,781.3408332,806.2924255,82.60876351,48923.95952,8897.313399,52635.54775,19.34804555,31.31256283,0.924722133,127.6059,118.0,52.122898,158.3524115,5.373309084,0.944309927,165.2,156.0,77.916486,158.3524115,0.9667866848636364,0.9768615918636364,0.9631761835454546,0.9839824683181818,85.67454545454545,1150.2545454545455,3.521818181818182,4.083727272727272,532.790909090909,1716.6,3277.5286363636365,1196.4427272727273,28.52227272727273,126.29181818181819,17.426363636363636,3.058486605,2.856345886,2.746573907,2.776835642,3398.472656,963.1030481,4640.039904,2692.099013,0.296225684,1.571500332,335.695404,343.1576457,2.216707631,449.56875,2.774323052,1.405496863,1097.10694,1056.6,1.950235821,1075.5,15312.80315,2700.08125,1.375969155,722.2493318,759.45,1.936302422,745.65625,3399.501761,5100.853438,990,1530,1095,4047,11915.05405,19348,66.66724458,69.1,80.19289526,66.66724458,61.76840338,65.42705968,48.70227213,77.24559243,66.66724458,2402.1,6977.0,25833.0,32810.0,1456,11915.05405,311.2839987,12844.32,241.4439988,0.234274914,4512.91265,69.8399999,16.66666667,1746.24235,5658.0,16992.66235,16.31126235,72.533,72533,15.193125,72533,50.66060838,311.2839987,8682.91,16992.66235,72.533,72533,3028571.271,20309.49
2010-06-01,ASP_monthly,3.05,3.018682949,3.411698418,2.989777763,3.215641606,2.614417458,3.294957272,86.041,2.2,77.53953,9.9,5.0,0.125,4.25,60.4,54.0,51.4,5.9,13.9,77.683,106.6,1772.7,8572.7,6.8,1.611691083,154.6923077,637.2366579,1019.02205,4686.622244,730.9780633,286.2441606,5909.0262,8221.0,4219.802847,436.2687325,50.42158145,119.2059773,111.9809295,781.3408332,806.2924255,82.60876351,48923.95952,8897.313399,52635.54775,19.34804555,31.31256283,0.924722133,127.6059,118.0,52.122898,158.3524115,5.373309084,0.944309927,165.2,156.0,77.916486,158.3524115,0.9682526932857143,0.9777734478095238,0.9670852675238095,0.9871356661904762,76.96761904761904,1204.347619047619,3.105357142857143,4.1629523809523805,489.93571428571425,1624.8952380952383,2848.424761904762,1123.3657142857144,40.40857142857143,124.92666666666666,31.936190476190475,3.058486605,2.856345886,2.746573907,2.776835642,3398.472656,963.1030481,4640.039904,2692.099013,0.296225684,1.571500332,335.695404,343.1576457,2.216707631,449.56875,2.774323052,1.405496863,1097.10694,1056.6,1.950235821,1075.5,15312.80315,2700.08125,1.375969155,722.2493318,759.45,1.936302422,745.65625,3399.501761,5100.853438,990,1530,1095,4047,11915.05405,19348,66.66724458,69.1,80.19289526,66.66724458,61.76840338,65.42705968,48.70227213,77.24559243,66.66724458,2402.1,6977.0,25833.0,32810.0,1456,11915.05405,311.2839987,12844.32,241.4439988,0.234274914,4512.91265,69.8399999,16.66666667,1746.24235,5658.0,16992.66235,16.31126235,72.533,72533,15.193125,72533,50.66060838,311.2839987,8682.91,16992.66235,72.533,72533,3028571.271,20309.49
2010-07-01,ASP_monthly,2.72,3.024187954,3.411698418,2.989777763,3.215641606,2.614417458,3.294957272,86.128,2.0,77.46373,9.7,5.0,0.125,4.25,59.7,54.0,51.4,5.9,14.0,79.189,108.0,1762.5,8608.6,7.1,1.611691083,154.6923077,637.2366579,1019.02205,4686.622244,730.9780633,286.2441606,5909.0262,8221.0,4219.802847,436.2687325,50.42158145,119.2059773,111.9809295,781.3408332,806.2924255,82.60876351,48923.95952,8897.313399,52635.54775,19.34804555,31.31256283,0.924722133,127.6059,118.0,52.122898,158.3524115,5.373309084,0.944309927,165.2,156.0,77.916486,158.3524115,0.9679449300454546,0.9769881547727273,0.9690774815000001,0.9885027266363636,75.65863636363636,1234.6636363636362,2.937068181818182,4.783772727272727,462.025,1554.1818181818182,2730.5577272727273,1083.360909090909,39.63,121.02863636363637,29.916363636363634,3.058486605,2.856345886,2.746573907,2.776835642,3398.472656,963.1030481,4640.039904,2692.099013,0.296225684,1.571500332,335.695404,343.1576457,2.216707631,449.56875,2.774323052,1.405496863,1097.10694,1056.6,1.950235821,1075.5,15312.80315,2700.08125,1.375969155,722.2493318,759.45,1.936302422,745.65625,3399.501761,5100.853438,990,1530,1095,4047,11915.05405,19348,66.66724458,69.1,80.19289526,66.66724458,61.76840338,65.42705968,48.70227213,77.24559243,66.66724458,2402.1,6977.0,25833.0,32810.0,1456,11915.05405,311.2839987,12844.32,241.4439988,0.234274914,4512.91265,69.8399999,16.66666667,1746.24235,5658.0,16992.66235,16.31126235,72.533,72533,15.193125,72533,50.66060838,311.2839987,8682.91,16992.66235,72.533,72533,3028571.271,20309.49
2010-08-02,ASP_monthly,2.72,2.993224887,3.411698418,2.989777763,3.215641606,2.614417458,3.294957272,86.041,1.1,76.99632,9.5,5.0,0.125,4.25,56.2,54.0,51.4,5.9,15.8,81.772,108.5,1738.2,8625.2,6.4,1.611691083,154.6923077,637.2366579,1019.02205,4686.622244,730.9780633,286.2441606,5909.0262,8221.0,4219.802847,436.2687325,50.42158145,119.2059773,111.9809295,781.3408332,806.2924255,82.60876351,48923.95952,8897.313399,52635.54775,19.34804555,31.31256283,0.924722133,127.6059,118.0,52.122898,158.3524115,5.373309084,0.944309927,165.2,156.0,77.916486,158.3524115,0.9686139197727273,0.9769632541363635,0.9709812029999999,0.9903863905000001,75.36454545454545,1192.459090909091,3.056977272727273,4.594363636363637,456.31363636363636,1525.2681818181818,2685.9672727272728,1077.2022727272727,34.716818181818184,118.40272727272728,25.77227272727273,3.058486605,2.856345886,2.746573907,2.776835642,3398.472656,963.1030481,4640.039904,2692.099013,0.296225684,1.571500332,335.695404,343.1576457,2.216707631,449.56875,2.774323052,1.405496863,1097.10694,1056.6,1.950235821,1075.5,15312.80315,2700.08125,1.375969155,722.2493318,759.45,1.936302422,745.65625,3399.501761,5100.853438,990,1530,1095,4047,11915.05405,19348,66.66724458,69.1,80.19289526,66.66724458,61.76840338,65.42705968,48.70227213,77.24559243,66.66724458,2402.1,6977.0,25833.0,32810.0,1456,11915.05405,311.2839987,12844.32,241.4439988,0.234274914,4512.91265,69.8399999,16.66666667,1746.24235,5658.0,16992.66235,16.31126235,72.533,72533,15.193125,72533,50.66060838,311.2839987,8682.91,16992.66235,72.533,72533,3028571.271,20309.49
2010-09-01,ASP_monthly,2.72,2.916651444,3.669696102,3.347989436,3.327990069,2.783919001,3.46309446,86.214,1.2,77.30582,9.5,5.0,0.125,4.25,55.5,54.0,51.4,5.9,15.7,72.949,107.8,1753.1,8555.1,4.8,1.611691083,154.6923077,637.2366579,1019.02205,4686.622244,730.9780633,286.2441606,5909.0262,8221.0,4219.802847,436.2687325,50.42158145,119.2059773,111.9809295,781.3408332,806.2924255,82.60876351,48923.95952,8897.313399,52635.54775,19.34804555,31.31256283,0.924722133,127.6059,118.0,52.122898,158.3524115,5.373309084,0.944309927,165.2,156.0,77.916486,158.3524115,0.9685742238636365,0.9771962477272728,0.9738537904545453,0.9923200304545454,77.115,1217.4454545454546,3.319818181818182,4.217818181818182,489.45454545454544,1541.9818181818182,2887.0245454545457,1087.2822727272726,33.175000000000004,119.06863636363637,24.74590909090909,3.35692204,3.132895816,2.908291112,3.031923463,3555.828547,1005.082141,4640.039904,3664.448975,0.352723936,1.676720994,328.5587975,333.8262622,2.296452785,426.58125,2.934884344,1.432833692,1226.130171,1019.7,1.921554162,1219.0,15312.80315,2789.321125,1.31338125,767.8155526,773.85,1.817312089,795.65625,3532.261985,5100.853438,990,1530,1095,4047,11926.37087,19348,65.93370572,72.8,78.83098616,65.93370572,61.76428098,70.74339685,45.95447664,72.37538794,65.93370572,2677.0,6977.0,25833.0,32810.0,1937,11926.37087,311.2839987,14354.1,241.4439988,0.244365561,4623.764847,69.8399999,8.944444444,1908.20846,6394.0,18939.30846,18.13160846,77.504,77504,16.25175,77504,50.66060838,311.2839987,8682.91,18939.30846,77.504,77504,3115727.655,20309.49
2010-10-01,ASP_monthly,1.98,2.740190029,3.669696102,3.347989436,3.327990069,2.783919001,3.46309446,86.647,1.1,77.76691,9.6,5.0,0.125,4.25,56.3,54.0,51.4,5.9,13.3,74.133,107.3,1720.9,8688.7,4.3,1.611691083,154.6923077,637.2366579,1019.02205,4686.622244,730.9780633,286.2441606,5909.0262,8221.0,4219.802847,436.2687325,50.42158145,119.2059773,111.9809295,781.3408332,806.2924255,82.60876351,48923.95952,8897.313399,52635.54775,19.34804555,31.31256283,0.924722133,127.6059,118.0,52.122898,158.3524115,5.373309084,0.944309927,165.2,156.0,77.916486,158.3524115,0.9681271787272727,0.9770651978636363,0.9742721116818182,0.9926522146363636,78.40818181818182,1271.9545454545455,3.5168636363636363,3.898681818181818,540.0886363636364,1597.15,2907.252727272727,1121.283181818182,31.730909090909094,120.8290909090909,22.462727272727275,3.35692204,3.132895816,2.908291112,3.031923463,3555.828547,1005.082141,4640.039904,3664.448975,0.352723936,1.676720994,328.5587975,333.8262622,2.296452785,426.58125,2.934884344,1.432833692,1226.130171,1019.7,1.921554162,1219.0,15312.80315,2789.321125,1.31338125,767.8155526,773.85,1.817312089,795.65625,3532.261985,5100.853438,990,1530,1095,4047,11926.37087,19348,65.93370572,72.8,78.83098616,65.93370572,61.76428098,70.74339685,45.95447664,72.37538794,65.93370572,2677.0,6977.0,25833.0,32810.0,1937,11926.37087,311.2839987,14354.1,241.4439988,0.244365561,4623.764847,69.8399999,8.944444444,1908.20846,6394.0,18939.30846,18.13160846,77.504,77504,16.25175,77504,50.66060838,311.2839987,8682.91,18939.30846,77.504,77504,3115727.655,20309.49
