Source,Target,lag,pval,val
MACRO CN PPI,MACRO CN PPI,1,7.576086789367159e-46,0.873165202899949
MACRO 70 Cities Housing Price YoY,MACRO 70 Cities Housing Price YoY,1,1.2295363364042413e-45,0.8652982706535532
Quarterly industry inventory value (L),Total Inventory(mil),1,2.3207123653253878e-38,0.84252727573954
Total Inventory(mil),Total Inventory(mil),1,2.3209737483382125e-38,0.8425269913908082
Quarterly industry inventory value (L),Quarterly industry inventory value (L),1,2.3212016156397554e-38,0.842526743528222
Total Inventory(mil),Quarterly industry inventory value (L),1,2.3214631720576607e-38,0.8425264590497743
MACRO KR CPI,MACRO KR CPI,1,3.851489511949694e-38,0.8257864177913161
(handset)Inventory of new products Total,(handset)Inventory of new products Total,1,7.510703103722814e-36,0.8175506501755618
MACRO M1 Money Stock,MACRO M1 Money Stock,1,3.0463928123616573e-35,0.8119275125442671
US3YT=RRPS,US3YT=RRPS,1,6.586810948513663e-35,0.8064916114019323
Waferoutput12-inch Total,Waferoutput12-inch SK hynix,3,1.1346014500033561e-34,0.8177337470618278
PAc1,PAc1,1,5.768216581300212e-34,0.7983187359551085
BZZc1,BZZc1,1,8.071188547976681e-34,0.8004588800409355
CSI300,CSI300,1,6.053205519896164e-33,0.7940898793771055
CN10YT=RR,CN10YT=RR,1,4.997438467335086e-32,0.7904374050326735
Micron fab Total output (1Gb million units),Micron fab Total output (1Gb million units),1,1.6763298003679422e-31,0.7896829649955095
"Micron fab 12"" total (1Gb million units)",Micron fab Total output (1Gb million units),1,1.7181253428010472e-31,0.7895994522061591
Micron fab Total output (1Gb million units),"Micron fab 12"" total (1Gb million units)",1,1.7428067996472458e-31,0.7895510670863561
"Micron fab 12"" total (1Gb million units)","Micron fab 12"" total (1Gb million units)",1,1.7793405123203698e-31,0.7894806677261281
US10YT=RRPS,US10YT=RRPS,1,3.3344965384731823e-31,0.7807152958156497
Total End-User Spending,Total End-User Spending,1,5.968724102363106e-31,0.7836544800360433
HGc1,HGc1,1,7.918505022674327e-30,0.7727675496483405
MACRO US CPI,MACRO US CPI,1,1.3664945141515431e-29,0.772445216699784
GCc1,GCc1,1,4.919466090634604e-29,0.762629314905923
Industry capex ($bn R),Industry capex ($bn R),1,3.7766677875786424e-27,0.7540274405999802
SK hynix loaded costs,SK hynix loaded costs,1,5.240637849236629e-27,0.7526817161249315
PLc1,PLc1,1,7.266296207209325e-27,0.7410876857926159
INX,INX,1,8.843592256105444e-27,0.7369330058418276
(smartphone)Inventory of lifetime shipments Total,(smartphone)Inventory of lifetime shipments Total,1,1.1854040208647574e-26,0.7390361815943751
MACRO CN CPI,MACRO CN CPI,1,1.9429234853380382e-26,0.7437470575463372
MACRO China PMI,MACRO M1 Money Stock,2,2.806560757050133e-26,-0.7337003816813815
MACRO China LPR,MACRO China LPR,1,6.894874777421697e-26,0.7365917053562563
Mobile commdem(mGb) Total,Mobile commdem(mGb) Total,1,1.0382319720800615e-25,0.7365269685796456
bit demand(mGb) Data center servers,bit demand(mGb) Data center servers,1,2.323734935008703e-25,0.736452747352524
Fabless semiconductor companies Inventory(mil),Fabless semiconductor companies Inventory(mil),1,3.0274114398703206e-25,0.7388039896337377
Samsung fab Total (K wafers/quarter),Samsung fab Total (K wafers/quarter),1,4.008755123646578e-25,0.7340158621061226
Waferoutput12-inch Samsung,Waferoutput12-inch Total,3,6.7730949624561175e-25,0.731646506294773
MACRO US Unemployment Rate,MACRO US Unemployment Rate,1,3.939973623873835e-24,0.7252713676062047
(smartphone)Inventory of new products Total,(smartphone)Inventory of new products Total,1,4.178185463218179e-24,0.721471319477466
DRAMDXI,DRAMDXI,1,5.828934531720113e-24,0.7234208041468402
NGc1,NGc1,1,6.06240629375744e-24,0.714507743297619
MACRO China PMI,MACRO US Unemployment Rate,2,8.739276518327898e-24,-0.7144834833214182
Fndry rev forecast-IDM foundry revenue,Fndry rev forecast-IDM foundry revenue,1,1.0211804947078564e-23,0.7052331099765601
Memory capex ($bn R),Memory capex ($bn R),1,1.4620894393899054e-23,0.7068664850633716
Capex by Tech ($m)-Memory,Capex by Tech ($m)-Memory,1,1.783195076418405e-23,0.7025330989852129
Samsung loaded costs,Samsung loaded costs,1,2.013926499631994e-23,0.7139309476796196
Shipment detail_Y 1Gb equivalent,Shipment detail_Y 1Gb equivalent,1,8.410023442280745e-23,0.7086229048669388
ASP_Mobile,ASP_Mobile,1,1.2034557235964606e-22,0.7103794221456742
Industry operating margin,Industry operating margin,1,1.2841674246134993e-22,0.6960921955103416
Foundry revenue by IDM by region (incl Samsung)-Total,Foundry revenue by IDM by region (incl Samsung)-Total,1,1.8243531995305939e-22,0.6909332591158026
Days of inventory by technology group - Discrete,Days of inventory by technology group - Discrete,1,3.7204798726033415e-22,0.687265784610364
Min average Max average,Min average Max average,1,4.034663530409608e-22,0.6868451090626302
Waferoutput12-inch Samsung,Waferoutput12-inch Samsung,1,5.851483204011489e-22,0.6916981787738566
ASP by vendor Micron,ASP by vendor Micron,1,7.816835993601589e-22,0.6833865572725024
Nanya loaded costs,Nanya loaded costs,1,9.402275896728282e-22,0.6824122250436198
Samsung cash costs,Samsung cash costs,1,1.273063909492985e-21,0.6945802830876756
Total industry silicon (Msquareinch)Total,Total industry silicon (Msquareinch)Total,1,1.3851830147820432e-21,0.6906137400193026
Waferoutput12-inch Micron,Waferoutput12-inch Micron,1,2.8321047865719932e-21,0.6902885359675136
Wired application dem (Gbm) Total,Wired application dem (Gbm) Total,1,3.2482914676104914e-21,0.6825606332871867
Days of inventory by technology group - Analog,Days of inventory by technology group - Analog,1,5.148333879461804e-21,0.6783325691655143
Gb per wafer Industry average,Gb per wafer Industry average,1,5.396158783612309e-21,0.6903415909903727
Micron loaded costs,Micron loaded costs,1,9.698328856970133e-21,0.6835327377471649
Revenue of fabless semiconductor companies,Revenue of fabless semiconductor companies,1,1.2976122050609084e-20,0.6715105161688301
bit demand(mGb) Upgrade module,bit demand(mGb) Upgrade module,1,2.2748772364940363e-20,0.6717652095452827
ASP_PC,ASP_PC,1,2.753291943434323e-20,0.6689685695534648
Days of inventory (R),Days of inventory (R),1,2.91653448565994e-20,0.6669402260286921
